run_date,ticker,rank,source_policy_style,primary_policy_id,policy_confidence,simulation_book_found,owned_in_simulation,event_risk,options_risk,technical_status,pullback_status,freshness_status,simulation_action,action_priority,reason,max_policy_cap_applied
2026-05-31T04:11:31+09:00,VIAV,1,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_V18_35D_RECOMPUTE,BB_LOWER_HALF,UNKNOWN,PAPER_BUY_CANDIDATE,MEDIUM,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;TOP20_CANDIDATE_WITHIN_POLICY_CAP,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,BW,2,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_V18_35D_RECOMPUTE,BB_MID,UNKNOWN,PAPER_BUY_CANDIDATE,MEDIUM,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;TOP20_CANDIDATE_WITHIN_POLICY_CAP,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,AEHR,3,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_NEUTRAL,BB_MID,UNKNOWN,PAPER_BUY_CANDIDATE,MEDIUM,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;TOP20_CANDIDATE_WITHIN_POLICY_CAP,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,INTC,4,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,UNKNOWN,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,SITM,5,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_V18_35D_RECOMPUTE,BB_MID,UNKNOWN,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,FORM,6,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_NEUTRAL,BB_NEAR_LOWER,UNKNOWN,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,TSEM,7,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_V18_35D_RECOMPUTE,BB_UPPER_HALF,UNKNOWN,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,LITE,8,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,LOW,HIGH,TECH_TIMING_NEUTRAL,BB_LOWER_HALF,FRESH_LATEST_PRICE_DATE,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED;OPTIONS_RISK_CAUTION_ONLY_NOT_PROMOTED_BY_V18_49B_R1,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,WOLF,9,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_V18_35D_RECOMPUTE,BB_UPPER_HALF,UNKNOWN,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED,MAX_PAPER_BUY_COUNT=3
2026-05-31T04:11:31+09:00,BE,10,SIM_BALANCED,BASELINE_TOP20,LOW,TRUE,FALSE,UNKNOWN,UNKNOWN,TECH_TIMING_NEUTRAL,BB_UPPER_HALF,UNKNOWN,PAPER_SKIP_POLICY_LIMIT,LOW,INHERITED_POLICY=SIM_BALANCED;CONFIDENCE=LOW;PAPER_BUY_CAP_REACHED_OR_BUYS_DISABLED,MAX_PAPER_BUY_COUNT=3
