ticker,latest_rank,latest_snapshot_date,latest_base_score,latest_composite_candidate_score,top20_entry_count_20d,top20_entry_count_60d,top20_entry_count_120d,consecutive_top20_days,avg_rank_20d,avg_rank_60d,best_rank_60d,worst_rank_60d,first_seen_top20_date,last_seen_top20_date,days_since_last_top20,tracking_tier,tracking_tier_reason,event_tracking_priority,options_tracking_priority,manual_review_priority
KEYS,1,2026-05-28,UNKNOWN,57.456,1,1,1,1,1.00,1.00,1,1,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,HIGH
VRT,2,2026-05-28,UNKNOWN,57.4,1,1,1,1,2.00,2.00,2,2,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,HIGH
ICHR,3,2026-05-28,UNKNOWN,56.64,1,1,1,1,3.00,3.00,3,3,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,HIGH
NVDA,4,2026-05-28,UNKNOWN,54.62,1,1,1,1,4.00,4.00,4,4,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,HIGH
D,5,2026-05-28,UNKNOWN,53.916,1,1,1,1,5.00,5.00,5,5,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,HIGH
AMKR,6,2026-05-28,UNKNOWN,53.592,1,1,1,1,6.00,6.00,6,6,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,MEDIUM
GOOGL,7,2026-05-28,UNKNOWN,53.476,1,1,1,1,7.00,7.00,7,7,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,MEDIUM
FIX,8,2026-05-28,UNKNOWN,53.096,1,1,1,1,8.00,8.00,8,8,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,MEDIUM
MCHP,9,2026-05-28,UNKNOWN,52.448,1,1,1,1,9.00,9.00,9,9,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,MEDIUM
LITE,10,2026-05-28,UNKNOWN,52.332,1,1,1,1,10.00,10.00,10,10,2026-05-28,2026-05-28,0,TIER_2_IMPORTANT,CURRENT_LATEST_RANK_LE_10,MEDIUM,MEDIUM,MEDIUM
CARR,11,2026-05-28,UNKNOWN,51.684,1,1,1,1,11.00,11.00,11,11,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
ENTG,12,2026-05-28,UNKNOWN,51.572,1,1,1,1,12.00,12.00,12,12,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
CRWV,13,2026-05-28,UNKNOWN,50.924,1,1,1,1,13.00,13.00,13,13,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
ETR,14,2026-05-28,UNKNOWN,50.544,1,1,1,1,14.00,14.00,14,14,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
COHU,15,2026-05-28,UNKNOWN,50.428,1,1,1,1,15.00,15.00,15,15,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
GEV,16,2026-05-28,UNKNOWN,49.668,1,1,1,1,16.00,16.00,16,16,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
FN,17,2026-05-28,UNKNOWN,48.952,1,1,1,1,17.00,17.00,17,17,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
ETN,18,2026-05-28,UNKNOWN,48.904,1,1,1,1,18.00,18.00,18,18,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
HUBB,19,2026-05-28,UNKNOWN,48.152,1,1,1,1,19.00,19.00,19,19,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
POWL,20,2026-05-28,UNKNOWN,47.876,1,1,1,1,20.00,20.00,20,20,2026-05-28,2026-05-28,0,TIER_3_OCCASIONAL,TOP20_ENTRY_COUNT_60D_BETWEEN_1_AND_2,LOW,LOW,LOW
