run_id,generated_at,scenario_name,simulated_capital_usd,scenario_type,included_ticker_count,target_weight_sum,max_single_name_weight,top5_weight_sum,top10_weight_sum,concentration_status,price_available_count,price_missing_count,whole_share_feasible_count,too_small_for_one_share_count,too_small_pct,feasibility_status,long_candidate_count,watch_count,avoid_count,high_confidence_count,medium_confidence_count,low_confidence_count,pending_forward_outcome_count,signal_quality_status,severe_overheat_count,data_quality_warning_count,freeze_missing_count,risk_tag_count,data_quality_status,scenario_risk_level,scenario_risk_reason,recommended_operator_interpretation,official_decision_impact,auto_trade,order_execution_used,notes
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_CONFIDENCE_WEIGHTED,1000,CONFIDENCE_WEIGHTED,20,1.0000000000,0.0540729835,0.2647055224,0.5190166097,OK,20,0,2,18,0.900000,SMALL_CAPITAL_CONSTRAINT,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; forward evidence pending; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_CONFIDENCE_WEIGHTED,10000,CONFIDENCE_WEIGHTED,20,1.0000000000,0.0540729835,0.2647055224,0.5190166097,OK,20,0,17,3,0.150000,OK,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,forward evidence pending; risk/data tags need review,PREVIEW_USABLE_BUT_WAIT_FORWARD_EVIDENCE,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_CONFIDENCE_WEIGHTED,2000,CONFIDENCE_WEIGHTED,20,1.0000000000,0.0540729835,0.2647055224,0.5190166097,OK,20,0,6,14,0.700000,SMALL_CAPITAL_CONSTRAINT,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; forward evidence pending; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_CONFIDENCE_WEIGHTED,5000,CONFIDENCE_WEIGHTED,20,1.0000000000,0.0540729835,0.2647055224,0.5190166097,OK,20,0,12,8,0.400000,SMALL_CAPITAL_CONSTRAINT,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; forward evidence pending; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_EQUAL_WEIGHT,1000,EQUAL_WEIGHT,20,1.0000000000,0.0500000000,0.2500000000,0.5000000000,OK,20,0,3,17,0.850000,SMALL_CAPITAL_CONSTRAINT,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; forward evidence pending; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_EQUAL_WEIGHT,10000,EQUAL_WEIGHT,20,1.0000000000,0.0500000000,0.2500000000,0.5000000000,OK,20,0,17,3,0.150000,OK,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,forward evidence pending; risk/data tags need review,PREVIEW_USABLE_BUT_WAIT_FORWARD_EVIDENCE,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_EQUAL_WEIGHT,2000,EQUAL_WEIGHT,20,1.0000000000,0.0500000000,0.2500000000,0.5000000000,OK,20,0,6,14,0.700000,SMALL_CAPITAL_CONSTRAINT,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; forward evidence pending; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP20_EQUAL_WEIGHT,5000,EQUAL_WEIGHT,20,1.0000000000,0.0500000000,0.2500000000,0.5000000000,OK,20,0,12,8,0.400000,SMALL_CAPITAL_CONSTRAINT,20,0,0,0,20,0,20,FORWARD_EVIDENCE_PENDING,0,0,0,20,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; forward evidence pending; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_EQUAL_WEIGHT_CAPPED,1000,CAPPED_WEIGHT,50,1.0000000000,0.0200000000,0.1000000000,0.2000000000,OK,50,0,3,47,0.940000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_EQUAL_WEIGHT_CAPPED,10000,CAPPED_WEIGHT,50,1.0000000000,0.0200000000,0.1000000000,0.2000000000,OK,50,0,29,21,0.420000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_EQUAL_WEIGHT_CAPPED,2000,CAPPED_WEIGHT,50,1.0000000000,0.0200000000,0.1000000000,0.2000000000,OK,50,0,4,46,0.920000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_EQUAL_WEIGHT_CAPPED,5000,CAPPED_WEIGHT,50,1.0000000000,0.0200000000,0.1000000000,0.2000000000,OK,50,0,16,34,0.680000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_RANK_DECAY_WEIGHTED,1000,RANK_DECAY_WEIGHTED,50,0.9999999999,0.0500000000,0.2500000000,0.4636135586,OK,50,0,2,48,0.960000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_RANK_DECAY_WEIGHTED,10000,RANK_DECAY_WEIGHTED,50,0.9999999999,0.0500000000,0.2500000000,0.4636135586,OK,50,0,26,24,0.480000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_RANK_DECAY_WEIGHTED,2000,RANK_DECAY_WEIGHTED,50,0.9999999999,0.0500000000,0.2500000000,0.4636135586,OK,50,0,3,47,0.940000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,TOP50_RANK_DECAY_WEIGHTED,5000,RANK_DECAY_WEIGHTED,50,0.9999999999,0.0500000000,0.2500000000,0.4636135586,OK,50,0,15,35,0.700000,SMALL_CAPITAL_CONSTRAINT,20,30,0,0,20,30,50,TOO_MANY_LOW_CONFIDENCE,0,0,0,50,REVIEW_NEEDED,MEDIUM,small capital whole-share constraints; too many low-confidence signals; risk/data tags need review,REVIEW_FEASIBILITY,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,WATCHLIST_RESEARCH_ONLY_FULL318,1000,RESEARCH_ONLY,318,1.0000000038,0.0031446541,0.0157232705,0.0314465410,OK,318,0,0,0,0.000000,RESEARCH_ONLY,20,298,0,0,20,298,318,RESEARCH_ONLY,0,0,0,318,REVIEW_NEEDED,RESEARCH_ONLY,Research-only watchlist scenario; not investable target risk.,RESEARCH_ONLY_NOT_INVESTABLE,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,WATCHLIST_RESEARCH_ONLY_FULL318,10000,RESEARCH_ONLY,318,1.0000000038,0.0031446541,0.0157232705,0.0314465410,OK,318,0,0,0,0.000000,RESEARCH_ONLY,20,298,0,0,20,298,318,RESEARCH_ONLY,0,0,0,318,REVIEW_NEEDED,RESEARCH_ONLY,Research-only watchlist scenario; not investable target risk.,RESEARCH_ONLY_NOT_INVESTABLE,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,WATCHLIST_RESEARCH_ONLY_FULL318,2000,RESEARCH_ONLY,318,1.0000000038,0.0031446541,0.0157232705,0.0314465410,OK,318,0,0,0,0.000000,RESEARCH_ONLY,20,298,0,0,20,298,318,RESEARCH_ONLY,0,0,0,318,REVIEW_NEEDED,RESEARCH_ONLY,Research-only watchlist scenario; not investable target risk.,RESEARCH_ONLY_NOT_INVESTABLE,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
V18_39C_SHADOW_RISK_MODEL_PREVIEW_20260527_142959,2026-05-27T14:29:59,WATCHLIST_RESEARCH_ONLY_FULL318,5000,RESEARCH_ONLY,318,1.0000000038,0.0031446541,0.0157232705,0.0314465410,OK,318,0,0,0,0.000000,RESEARCH_ONLY,20,298,0,0,20,298,318,RESEARCH_ONLY,0,0,0,318,REVIEW_NEEDED,RESEARCH_ONLY,Research-only watchlist scenario; not investable target risk.,RESEARCH_ONLY_NOT_INVESTABLE,NONE,DISABLED,FALSE,Read-only risk preview only; not a trade risk engine and not an order plan.
