ticker,run_time,semantic_layer,in_raw_universe,in_classified_universe,in_main_compute_universe,in_second_stage_candidate,raw_price_ok,price_status,latest_price_date,latest_close,special_tag,inferred_exclusion_reason,raw105_refresh_status,raw105_latest_price_date,raw105_latest_close,raw105_latest_volume,raw105_freshness_status,freshness_acceptance_status,freshness_max_latest_price_date,is_current_main_compute,is_current_second_stage,is_top_candidate_file,is_watchlist_file,candidate_tier,full_buy_decision,decision_reason_cn,tier_order
AAPL,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,300.2300109863281,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,297.8399963378906,34313641.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ACLS,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,155.17999267578125,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,146.24000549316406,608756.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ACM,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,71.30999755859375,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,71.48999786376953,1608352.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ACMR,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,63.66999816894531,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,63.25,1208849.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AEHR,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,99.5,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,83.56999969482422,3906127.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
ALAB,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,232.67999267578125,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,215.5800018310547,6150767.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMAT,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,436.6199951171875,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,413.5700073242188,8231972.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMD,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,424.1000061035156,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,420.989990234375,27342766.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMKR,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,70.3499984741211,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,66.04000091552734,4079764.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
AMZN,2026-05-19 10:53:41,SECOND_STAGE_CANDIDATE,True,True,True,True,True,OK_EXISTING_LOCAL_PRICE,2026-05-15,264.1400146484375,,,OK_YFINANCE_LATEST_AVAILABLE,2026-05-18,264.8599853515625,33570711.0,OK_LATEST_AVAILABLE,ACCEPT_LATEST_DATE,2026-05-18,True,True,True,False,A_SECOND_STAGE_TOP10,BUY_CANDIDATE_REQUIRES_MANUAL_CONFIRMATION,进入 second stage，且门控未锁；需要人工复核触发价、仓位、事件风险后才可买,1
